,followers,following,company,has_bio,time_in_years,public_repos,average_stars,languages_used
followers,1.0,0.4357316086250323,0.043381796256916516,0.04881061359759954,-0.031192434309058638,0.06118911821191109,0.2798934032755137,0.015098890302783555
following,0.4357316086250323,1.0,0.017273893739375563,0.007341565389677201,0.0031723133490780993,0.12248541618244176,0.06970500917337223,-0.0018828619277898207
company,0.043381796256916516,0.017273893739375563,1.0,0.20817815680660948,0.10684267394832135,0.0280677590572386,0.01607836532203674,0.16448268350798714
has_bio,0.04881061359759954,0.007341565389677201,0.20817815680660948,1.0,-0.00921802430396993,0.011404098971209368,0.01607025047434299,0.14372028754786187
time_in_years,-0.031192434309058638,0.0031723133490780993,0.10684267394832135,-0.00921802430396993,1.0,0.060267083770650126,0.02159488321312573,0.29977756847907483
public_repos,0.06118911821191109,0.12248541618244176,0.0280677590572386,0.011404098971209368,0.060267083770650126,1.0,-0.005539458367476424,0.05673172457154019
average_stars,0.2798934032755137,0.06970500917337223,0.01607836532203674,0.01607025047434299,0.02159488321312573,-0.005539458367476424,1.0,-0.02400949496294786
languages_used,0.015098890302783555,-0.0018828619277898207,0.16448268350798714,0.14372028754786187,0.29977756847907483,0.05673172457154019,-0.02400949496294786,1.0
