,min,max,mean,median,std
followers,0.0,42289.0,254.96663220767286,104.0,886.0658369285923
following,0.0,955916.0,1016.7464966689639,135.0,12253.23769770924
company,0.0,1.0,0.39294739260280265,0.0,0.48841932780002717
has_bio,0.0,1.0,0.746381805651275,1.0,0.43509410252447495
time_in_years,0.0,17.0,6.226567884217781,6.0,3.3721144069969418
public_repos,0.0,48307.0,63.1421433494142,28.0,512.573848547803
average_stars,0.0,1496.14,2.1462255915460604,0.41,18.932249525023693
languages_used,0.0,30.0,5.934183321847002,6.0,3.725725130235815
